data,valor
20090101,2.1
20090201,2.3
20090301,0.5
20090401,1.1
20090501,1.5
20090601,1.4
20090701,1.1
20090801,1.5
20090901,1.7
20091001,1.8
20091101,1.6
20091201,0.2
20100101,1.6
20100201,-0.2
20100301,2.5
20100401,0.2
20100501,-0.2
20100601,-0.7
20100701,-0.5
20100801,-0.4
20100901,0.2
20101001,-0.3
20101101,0.9
20101201,0.4
20110101,0.2
20110201,1.4
20110301,0.6
20110401,-2.6
20110501,3.0
20110601,-2.4
20110701,0.4
20110801,-1.0
20110901,-1.9
20111001,-1.0
20111101,0.7
20111201,2.6
20120101,-4.4
20120201,1.0
20120301,-0.7
20120401,0.2
20120501,0.4
20120601,0.1
20120701,1.5
20120801,2.0
20120901,-1.9
20121001,1.5
20121101,-1.5
20121201,0.7
20130101,0.8
20130201,-2.4
20130301,1.5
20130401,1.8
20130501,-0.5
20130601,0.7
20130701,-0.8
20130801,0.5
20130901,0.6
20131001,-1.1
20131101,0.6
20131201,-3.9
20140101,1.6
20140201,0.6
20140301,-0.2
20140401,-0.8
20140501,-1.4
20140601,-2.7
20140701,2.3
20140801,0.9
20140901,0.2
20141001,0.2
20141101,-1.0
20141201,-3.2
20150101,0.6
20150201,-0.6
20150301,-0.4
20150401,-2.1
20150501,-0.9
20150601,-1.0
20150701,-2.0
20150801,0.9
20150901,-2.3
20151001,-0.1
20151101,-1.9
20151201,-1.9
20160101,1.5
20160201,-1.5
20160301,0.9
20160401,-0.2
20160501,0.5
20160601,-1.2
20160701,0.8
20160801,-2.3
20160901,1.1
20161001,-1.3
20161101,0.8
20161201,1.8
20170101,1.1
20170201,1.2
20170301,-2.1
20170401,0.4
20170501,0.3
20170601,0.9
20170701,0.3
20170801,-0.3
20170901,0.5
20171001,0.7
20171101,0.5
20171201,3.3
20180101,-2.6
20180201,-0.3
20180301,1.2
20180401,0.4
20180501,-11.0
20180601,12.6
20180701,-0.2
20180801,-1.3
20180901,-2.7
20181001,1.2
20181101,0.0
20181201,0.3
20190101,-1.0
20190201,0.6
20190301,-0.2
20190401,0.3
20190501,-0.1
20190601,-0.9
20190701,-0.7
20190801,1.2
20190901,-0.1
20191001,2.0
20191101,-2.0
20191201,-1.2
20200101,0.9
20200201,1.0
20200301,-7.8
20200401,-19.6
20200501,8.0
20200601,9.6
20200701,9.2
20200801,2.9
20200901,2.7
20201001,1.1
20201101,0.4
20201201,0.3
20210101,0.4
20210201,-1.6
20210301,-2.2
20210401,-1.5
20210501,1.3
20210601,-0.5
20210701,-1.4
20210801,-0.5
20210901,-0.5
20211001,-0.5
20211101,0.1
20211201,2.7
20220101,-2.2
20220201,0.7
